标题,小区名,房屋详情,关注人数/发布时间,总价,单价,经度,纬度,格式化地址,地址级别
幸福里大三房 好楼层 前排无遮挡 看房预约,华润幸福里 ,3室1厅 | 115.32平米 | 南 北 | 其他 | 中楼层(共26层)  | 塔楼,2人关注 / 1个月以前发布,212万,"18,384元/平",118.888859,32.130680,江苏省南京市栖霞区华润幸福里,住宅区
桥林水沐云筑 精装三室 地铁口旁 随时看房房主诚心出,水沐云筑 ,3室2厅 | 113.83平米 | 南 北 | 其他 | 18层  | 暂无数据,5人关注 / 8个月以前发布,120万,"10,543元/平",118.562693,31.961433,江苏省南京市浦口区水沐云筑,住宅区
世茂滨江新城 江景房 采光通透 户型方正,世茂滨江新城 ,3室2厅 | 174.12平米 | 南 | 其他 | 中楼层(共55层)  | 板塔结合,1人关注 / 4个月以前发布,486万,"27,912元/平",118.734354,32.077358,江苏省南京市鼓楼区世茂滨江新城,住宅区
南部新城  大校场 满两年 户型方正 交通便利,复地宴南都一期 ,3室2厅 | 97.25平米 | 南 | 其他 | 中楼层(共30层)  | 板楼,2人关注 / 一年前发布,365万,"37,533元/平",118.805202,31.982931,江苏省南京市秦淮区复地·宴南都,住宅区
新空毛坯没人住过 看房方便 业主诚心卖 满五年,世茂外滩新城 ,2室2厅 | 110.22平米 | 南 | 毛坯 | 中楼层(共55层)  | 板塔结合,4人关注 / 3个月以前发布,315万,"28,580元/平",118.735524,32.080929,江苏省南京市鼓楼区世茂外滩新城,住宅区
新上 龙蟠花苑 四房 看房方便 中楼层,龙蟠花苑 ,4室2厅 | 122.25平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,7人关注 / 一年前发布,390万,"31,902元/平",118.800834,32.012831,江苏省南京市秦淮区龙蟠花苑,住宅区
电梯洋房  紧靠南部新城 全明户型 2014年房龄,大明宏苑 ,2室1厅 | 63.46平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 17天以前发布,180万,"28,365元/平",118.808623,32.004793,江苏省南京市秦淮区大明宏苑,住宅区
东山龙湖物业次新小区户型方正楼层好二次装修拎包入住,龙湖春江郦城天宸苑 ,3室2厅 | 86.79平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,2人关注 / 21天以前发布,295万,"33,991元/平",118.834723,31.942767,江苏省南京市江宁区龙湖·春江郦城天宸苑,住宅区
高楼层 湖景房 双阳台 双卫 西边户 不靠主干道,新城玖珑湖一期 ,4室1厅 | 133.78平米 | 南 北 | 精装 | 中楼层(共34层)  | 塔楼,6人关注 / 8个月以前发布,439万,"32,816元/平",,,,
托乐嘉旺邻居小三房  装修保养好 业主诚意出售,托乐嘉旺邻居 ,3室2厅 | 87.84平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,9人关注 / 3个月以前发布,278万,"31,649元/平",118.783361,31.945992,江苏省南京市江宁区托乐嘉(公交站),公交地铁站点
诚心出售 户型方正 出行方便  好看房 房主诚心卖房,红旗村新楼 ,2室1厅 | 74.24平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 4个月以前发布,52万,"7,005元/平",118.763318,32.226231,江苏省南京市六合区红旗村新楼,住宅区
：鼓楼 中楼层 精装修 好楼层 一梯一户 高档小区,葛洲坝招商紫郡蘭园南区 ,4室1厅 | 139.54平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,4人关注 / 11个月以前发布,600万,"42,999元/平",118.792504,32.097984,江苏省南京市鼓楼区葛洲坝紫郡兰园,住宅区
采光好，格局好，配套设施齐，诚心出售。,杨柳新村 ,3室1厅 | 96.05平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,80万,"8,329元/平",118.599763,32.023897,江苏省南京市浦口区杨柳新村,村庄
新街口 金鹰 新百 大洋地铁口旁南台巷小区,南台巷西 ,2室1厅 | 44.33平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,5人关注 / 5个月以前发布,128万,"28,875元/平",118.780027,32.037466,江苏省南京市秦淮区南台巷西,未知
马群地铁口   低密度电梯洋房  精装修  拎包入住,招商紫金山1号 ,5室1厅 | 208.74平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,16人关注 / 一年前发布,445万,"21,319元/平",118.709104,32.183930,江苏省南京市招商,未知
广汇花园 电梯两房 中间楼层 业主诚售,广汇花园 ,2室1厅 | 86.69平米 | 南 | 其他 | 高楼层(共11层)  | 板塔结合,1人关注 / 4个月以前发布,168万,"19,380元/平",118.855608,31.945356,江苏省南京市江宁区广汇花园,住宅区
南部新城 大明路   双南  采光好  配套完善  出行方便,风光里一期 ,2室1厅 | 50.77平米 | 南 北 | 简装 | 低楼层(共7层)  | 板塔结合,1人关注 / 1个月以前发布,115万,"22,652元/平",118.805492,31.998029,江苏省南京市秦淮区风光里,住宅区
新街口 丰富路 天堂街 中间楼层 全明户型满五唯一,天堂街小区 ,2室1厅 | 49.37平米 | 东 东南 南 西南 西 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,139万,"28,155元/平",118.779138,32.039412,江苏省南京市秦淮区天堂街小区,住宅区
满五唯一，电梯直达，全屋空调，新风，暖气。,汉中苑 ,4室2厅 | 126.75平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,9人关注 / 4个月以前发布,400万,"31,559元/平",118.768195,32.036681,江苏省南京市秦淮区汉中苑,住宅区
地铁口 精装二室 客厅带阳台 楼层好 视野辽阔,尧顺佳园 ,2室1厅 | 68.4平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,109万,"15,936元/平",118.892955,32.127571,江苏省南京市栖霞区尧顺佳园,住宅区
鼓楼区新模范马路芦席营南北精装两房业主诚心出售,芦席营 ,2室1厅 | 59.03平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,4人关注 / 一年前发布,118万,"19,990元/平",118.780976,32.075427,江苏省南京市鼓楼区芦席营,道路
桥林水沐云筑 精装三室 地铁口旁 随时看房房主诚心出,水沐云筑 ,3室2厅 | 113.83平米 | 南 北 | 其他 | 18层  | 暂无数据,5人关注 / 8个月以前发布,120万,"10,543元/平",,,,
滨江馨园  新空毛坯 喜欢自己装修的可以关注哦,滨江馨园 ,2室1厅 | 75.06平米 | 南 | 其他 | 中楼层(共33层)  | 板塔结合,3人关注 / 6个月以前发布,73万,"9,726元/平",118.625150,32.040225,江苏省南京市浦口区滨江馨园,住宅区
奥南 义德西苑 全新装修大两房 拎包入住 诚心出售,义德西苑 ,2室1厅 | 77.22平米 | 南 | 其他 | 中楼层(共34层)  | 板楼,1人关注 / 一年前发布,105万,"13,598元/平",118.696802,31.944452,江苏省南京市雨花台区义德西苑,住宅区
世茂滨江新城 江景房 采光通透 户型方正,世茂滨江新城 ,3室2厅 | 174.12平米 | 南 | 其他 | 中楼层(共55层)  | 板塔结合,1人关注 / 4个月以前发布,486万,"27,912元/平",118.734354,32.077358,江苏省南京市鼓楼区世茂滨江新城,住宅区
雨花板桥·锦华新城 创业创新城旁业主诚心出售,锦华新城 ,2室1厅 | 89.13平米 | 南 | 简装 | 高楼层(共16层)  | 板塔结合,0人关注 / 5个月以前发布,76万,"8,527元/平",118.637448,31.922507,江苏省南京市雨花台区锦华新城,住宅区
幸福里大三房 好楼层 前排无遮挡 看房预约,华润幸福里 ,3室1厅 | 115.32平米 | 南 北 | 其他 | 中楼层(共26层)  | 塔楼,2人关注 / 1个月以前发布,212万,"18,384元/平",118.888859,32.130680,江苏省南京市栖霞区华润幸福里,住宅区
骏景华庭 不临路 自住精装修 保养好,骏景华庭 ,2室1厅 | 84.66平米 | 南 | 精装 | 中楼层(共17层)  | 塔楼,2人关注 / 3个月以前发布,223万,"26,341元/平",118.834430,31.917828,江苏省南京市江宁区骏景华庭,住宅区
市政天元城好房楼层好，有车位，看房方便，业主诚心卖,市政天元城 ,3室2厅 | 119.15平米 | 南 北 | 精装 | 中楼层(共10层)  | 板塔结合,4人关注 / 2个月以前发布,312万,"26,186元/平",118.853012,31.936378,江苏省南京市江宁区花语座,住宅区
地铁口，大三房，架空一楼，采光佳,宝润花园 ,3室1厅 | 102.24平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,1人关注 / 7个月以前发布,88万,"8,608元/平",118.733932,32.214131,江苏省南京市六合区宝润花园,住宅区
2号线地铁口 商品房 已出新  低楼层,银轮花园 ,2室2厅 | 77.04平米 | 南 | 其他 | 低楼层(共5层)  | 板楼,1人关注 / 5个月以前发布,249万,"32,321元/平",118.743890,32.027213,江苏省南京市建邺区银轮花园,住宅区
出售钱墉望景花园 两房  好楼层,钱塘望景花园 ,2室1厅 | 86.74平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 24天以前发布,137万,"15,795元/平",118.618279,32.072957,江苏省南京市浦口区钱塘·望景花园,住宅区
仙林学则路 亚东城东区大平层板楼好房诚心售 随时看,亚东城东区 ,3室2厅 | 139.69平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,17人关注 / 3个月以前发布,301万,"21,548元/平",118.913823,32.091585,江苏省南京市栖霞区亚东城东区,住宅区
采光好，格局好，配套设施齐，诚心出售。,杨柳新村 ,3室1厅 | 96.05平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,80万,"8,329元/平",118.599763,32.023897,江苏省南京市浦口区杨柳新村,村庄
电梯洋房  紧靠南部新城 全明户型 2014年房龄,大明宏苑 ,2室1厅 | 63.46平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 17天以前发布,180万,"28,365元/平",,,,
新街口 丰富路 天堂街 中间楼层 全明户型满五唯一,天堂街小区 ,2室1厅 | 49.37平米 | 东 东南 南 西南 西 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,139万,"28,155元/平",118.779138,32.039412,江苏省南京市秦淮区天堂街小区,住宅区
高楼层 湖景房 双阳台 双卫 西边户 不靠主干道,新城玖珑湖一期 ,4室1厅 | 133.78平米 | 南 北 | 精装 | 中楼层(共34层)  | 塔楼,6人关注 / 8个月以前发布,439万,"32,816元/平",118.828629,31.905847,江苏省南京市江宁区新城珑湾花园,住宅区
东山龙湖物业次新小区户型方正楼层好二次装修拎包入住,龙湖春江郦城天宸苑 ,3室2厅 | 86.79平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,2人关注 / 21天以前发布,295万,"33,991元/平",118.834723,31.942767,江苏省南京市江宁区龙湖·春江郦城天宸苑,住宅区
新上 龙蟠花苑 四房 看房方便 中楼层,龙蟠花苑 ,4室2厅 | 122.25平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,7人关注 / 一年前发布,390万,"31,902元/平",118.800834,32.012831,江苏省南京市秦淮区龙蟠花苑,住宅区
广汇花园 电梯两房 中间楼层 业主诚售,广汇花园 ,2室1厅 | 86.69平米 | 南 | 其他 | 高楼层(共11层)  | 板塔结合,1人关注 / 4个月以前发布,168万,"19,380元/平",118.855608,31.945356,江苏省南京市江宁区广汇花园,住宅区
南部新城  大校场 满两年 户型方正 交通便利,复地宴南都一期 ,3室2厅 | 97.25平米 | 南 | 其他 | 中楼层(共30层)  | 板楼,2人关注 / 一年前发布,365万,"37,533元/平",118.805202,31.982931,江苏省南京市秦淮区复地·宴南都,住宅区
托乐嘉旺邻居小三房  装修保养好 业主诚意出售,托乐嘉旺邻居 ,3室2厅 | 87.84平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,9人关注 / 3个月以前发布,278万,"31,649元/平",118.783361,31.945992,江苏省南京市江宁区托乐嘉(公交站),公交地铁站点
诚心出售 户型方正 出行方便  好看房 房主诚心卖房,红旗村新楼 ,2室1厅 | 74.24平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 4个月以前发布,52万,"7,005元/平",118.763318,32.226231,江苏省南京市六合区红旗村新楼,住宅区
：鼓楼 中楼层 精装修 好楼层 一梯一户 高档小区,葛洲坝招商紫郡蘭园南区 ,4室1厅 | 139.54平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,4人关注 / 11个月以前发布,600万,"42,999元/平",118.792504,32.097984,江苏省南京市鼓楼区葛洲坝紫郡兰园,住宅区
汉中门大街 劲顺花园 芳凤 全明户型,劲顺花园 ,3室2厅 | 94.15平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,11人关注 / 11个月以前发布,300万,"31,865元/平",118.796624,32.059344,江苏省南京市,市
新上房源  百家湖三号线 精装复式小跃层,中航樾府 ,3室2厅 | 94.07平米 | 南 | 其他 | 中楼层(共12层)  | 板楼,27人关注 / 7个月以前发布,298万,"31,679元/平",118.797700,31.931635,江苏省南京市江宁区中航·樾府,住宅区
春江新城将军坊 精装修带阁楼 满五诚售户型方正,春江新城将军坊 ,3室2厅 | 72.15平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 2个月以前发布,145万,"20,098元/平",118.752712,31.961766,江苏省南京市雨花台区春江新城将军坊,住宅区
满五唯一，电梯直达，全屋空调，新风，暖气。,汉中苑 ,4室2厅 | 126.75平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,9人关注 / 4个月以前发布,400万,"31,559元/平",,,,
2002年商品房 独体独户 东边户3房 中间楼层,凤凰花园城福安园 ,2室1厅 | 93.3平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,10人关注 / 4个月以前发布,345万,"36,978元/平",118.741132,32.042662,江苏省南京市鼓楼区凤凰花园城福安园,住宅区
开发商装修，没住过，价格可谈.,建发央誉 ,4室2厅 | 140.78平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 31天以前发布,158万,"11,224元/平",119.054823,31.626073,江苏省南京市溧水区建发央誉,住宅区
总价低 满五年税费少 湾子口苏果旁 房东诚心出售,庆丰路11号 ,2室1厅 | 45.41平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,1人关注 / 2个月以前发布,31万,"6,827元/平",119.032020,31.645013,江苏省南京市溧水区庆丰路11号,门址
花园路70号地铁6号线在建 地铁口此房楼层好 采光充足,花园路70号 ,3室2厅 | 96.85平米 | 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,183万,"18,896元/平",118.821021,32.083270,江苏省南京市玄武区花园路70号,门址
汉中门大街 劲顺花园 芳凤 全明户型,劲顺花园 ,3室2厅 | 94.15平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,11人关注 / 11个月以前发布,300万,"31,865元/平",118.796624,32.059344,江苏省南京市,市
竹山路市政天元城大四房 +地下车位+有窗储物间 双地铁,市政天元城 ,4室1厅 | 152.4平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,2人关注 / 2个月以前发布,320万,"20,998元/平",,,,
湖熟新城精装两房户型方正楼层好诚心出售价格好谈,恒建金陵美域 ,2室1厅 | 74.22平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,65万,"8,758元/平",118.910315,31.621981,江苏省南京市溧水区南京恒建,兴趣点
小区中间位置  凤凰层 采光好 诚售,洲岛家园绿洲苑 ,1室1厅 | 47.46平米 | 南 北 | 精装 | 高楼层(共24层)  | 板塔结合,25人关注 / 一年前发布,88万,"18,542元/平",118.697933,32.022389,江苏省南京市建邺区洲岛家园绿洲苑,住宅区
满五唯一 无个税 三开间朝南 户型方正 地铁天润城站,天润城第三街区 ,3室2厅 | 109.76平米 | 南 北 | 其他 | 低楼层(共11层)  | 板楼,21人关注 / 8个月以前发布,139万,"12,664元/平",118.735971,32.145737,江苏省南京市浦口区天润城第三街区,住宅区
春江新城将军坊 精装修带阁楼 满五诚售户型方正,春江新城将军坊 ,3室2厅 | 72.15平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 2个月以前发布,145万,"20,098元/平",118.752712,31.961766,江苏省南京市雨花台区春江新城将军坊,住宅区
弘阳时光春晓  三房两卫   业主诚心出售  价格可谈,弘阳禹洲时光春晓 ,3室2厅 | 87.02平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,3人关注 / 8个月以前发布,125万,"14,365元/平",118.939264,31.928501,江苏省南京市江宁区弘阳禹洲昕悦雅苑,住宅区
毛坯 三房两厅两卫 高楼层  满二,金龙南郡 ,3室2厅 | 120平米 | 南 | 其他 | 中楼层(共11层)  | 板塔结合,0人关注 / 一年前发布,79万,"6,584元/平",119.012024,31.627496,江苏省南京市溧水区金龙南郡,住宅区
次新房 小高层 闹中取静 物业好 采光好 双地铁,紫金铭苑 ,3室1厅 | 88.06平米 | 南 | 简装 | 中楼层(共8层)  | 塔楼,6人关注 / 一年前发布,210万,"23,848元/平",118.808773,32.114512,江苏省南京市栖霞区紫金铭苑,住宅区
满五年 小区中间，实用面积大，采光无遮挡，环境好,三金福邸 ,2室2厅 | 85.71平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,1人关注 / 5个月以前发布,198万,"23,102元/平",118.835752,32.016317,江苏省南京市秦淮区三金·福邸,住宅区
滨江馨园  刚需两房 五桥口  交通便利  诚心出售,滨江馨园 ,2室1厅 | 85.89平米 | 南 北 | 其他 | 低楼层(共33层)  | 板塔结合,0人关注 / 27天以前发布,81万,"9,431元/平",118.625150,32.040225,江苏省南京市浦口区滨江馨园,住宅区
天泽苑电梯两房好楼层二次装修过业主诚售,天泽苑 ,2室1厅 | 84.83平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,217万,"25,581元/平",118.846061,31.933455,江苏省南京市江宁区天泽苑,住宅区
中交锦兰荟好楼层 居家精装修 保养的好 拎包入住,中交锦兰荟 ,3室2厅 | 89.48平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,2人关注 / 3个月以前发布,160万,"17,882元/平",118.600299,32.049511,江苏省南京市浦口区中交·锦兰荟,住宅区
托乐嘉花园 万科物业 交通方便 诚心出售 满五唯一,托乐嘉单身公寓 ,2室1厅 | 77.64平米 | 南 | 其他 | 中楼层(共11层)  | 塔楼,3人关注 / 22天以前发布,142万,"18,290元/平",118.786058,31.944322,江苏省南京市江宁区托乐嘉单身公寓,住宅区
芳凤加29 楼层好适合带老人居住 大三房阳光好离29近,广州路 ,3室1厅 | 84.72平米 | 南 北 | 其他 | 低楼层(共7层)  | 板塔结合,4人关注 / 2个月以前发布,378万,"44,618元/平",118.770021,32.049818,江苏省南京市鼓楼区广州路,道路
业主诚心卖房，精装修拎包入住，设施齐全，交通便利,弘阳时代中心二期 ,1室1厅 | 25.32平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,6人关注 / 一年前发布,24.8万,"9,795元/平",118.720267,32.137851,江苏省南京市浦口区弘阳时代中心,兴趣点
全南户型 不临街采光好总价低 诚心出售,边城世家 ,3室2厅 | 91.2平米 | 南 北 | 其他 | 中楼层(共31层)  | 板塔结合,4人关注 / 一年前发布,265万,"29,058元/平",118.737520,32.077492,江苏省南京市鼓楼区边城世家,住宅区
共青团路 2000年房龄 环境优美 交通便利,共青团路 ,3室2厅 | 71.14平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,2人关注 / 13天以前发布,150万,"21,086元/平",118.775817,31.999529,江苏省南京市雨花台区共青团路,道路
德盈大厦 河西万达 河西金鹰 楼层好,德盈大厦 ,1室1厅 | 48.65平米 | 南 | 简装 | 中楼层(共21层)  | 塔楼,2人关注 / 4个月以前发布,149万,"30,627元/平",118.738408,32.027886,江苏省南京市建邺区德盈大厦,兴趣点
燕子矶 紫御东方 精装三房两卫 诚意出售 价格可谈,紫御东方一期 ,3室1厅 | 106.85平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,2人关注 / 4个月以前发布,262万,"24,521元/平",118.832728,32.137753,江苏省南京市栖霞区紫御东方一期,住宅区
如意里 红庙 南北全明两房 低总价,如意里 ,2室1厅 | 45.97平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,136万,"29,585元/平",,,,
房龄98年 厨卫全明 阳光刺眼 临秦淮河 业主急售,瑞金北村 ,2室1厅 | 57.39平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,12人关注 / 11个月以前发布,160万,"27,880元/平",118.811587,32.035704,江苏省南京市秦淮区瑞金北村,村庄
时花公寓   好楼层有钥匙  诚心诚意出售中,时花公寓 ,2室1厅 | 73.27平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,2人关注 / 4个月以前发布,108万,"14,741元/平",118.856957,31.960065,江苏省南京市江宁区时花公寓,住宅区
次新小区，好楼层，可看江，业主诚售，随时看房,威尼斯水城第十六街区 ,3室2厅 | 109.48平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 塔楼,3人关注 / 5个月以前发布,148万,"13,519元/平",,,,
九中 如意里 双南精装 小区已出新 珠江路 独立小区,如意里 ,2室1厅 | 45.97平米 | 南 北 | 其他 | 中楼层(共4层)  | 板楼,1人关注 / 28天以前发布,126万,"27,410元/平",118.793375,32.047154,江苏省南京市玄武区如意里,住宅区
配套成熟 交通便利 小区出新 业主诚售,龙福花园 ,2室1厅 | 53.61平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,137万,"25,555元/平",118.757956,31.998502,江苏省南京市雨花台区龙福花园,住宅区
科利华 中 央路 廖家巷 二楼一居室精装修拎包入住,中央路（玄武） ,1室1厅 | 41.06平米 | 东 西 | 精装 | 低楼层(共7层)  | 板楼,7人关注 / 4个月以前发布,190万,"46,274元/平",,,,
地铁S3号线旁 春江苑三房 业主 诚意出售 随时看房,春江苑 ,3室2厅 | 102.23平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,7人关注 / 一年前发布,65万,"6,359元/平",118.568107,31.965427,江苏省南京市浦口区春江苑,住宅区
鼓楼红山动物园小市村不占业主诚心出售,小市村 ,1室1厅 | 38.04平米 | 南 | 简装 | 低楼层(共4层)  | 板楼,1人关注 / 5个月以前发布,83万,"21,820元/平",118.796716,32.096223,江苏省南京市鼓楼区小市村,村庄
次新小区 电梯房 户型方正 交通便利 看房方便,左所雅苑 ,3室2厅 | 103.12平米 | 南 北 | 其他 | 中楼层(共34层)  | 板塔结合,1人关注 / 8个月以前发布,110万,"10,668元/平",118.703021,32.137522,江苏省南京市浦口区左所雅苑,住宅区
中山陵 下马坊 带电梯 精装大三房平层 看房方便,钟山花园城山水居 ,3室2厅 | 136.58平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,5人关注 / 1个月以前发布,450万,"32,948元/平",118.849400,32.031647,江苏省南京市玄武区钟山花园城山水居,住宅区
楼层好刚需小两房，业主诚心卖，户型好,上坊新城 ,2室2厅 | 89.9平米 | 南 北 | 其他 | 高楼层(共33层)  | 板塔结合,2人关注 / 3个月以前发布,116万,"12,904元/平",118.887800,31.955963,江苏省南京市江宁区上坊新城,住宅区
此房户型好，楼层好，采光充足，配套齐全，出行方便,中航樾公馆 ,3室2厅 | 94.09平米 | 南 北 | 其他 | 高楼层(共35层)  | 塔楼,3人关注 / 1个月以前发布,195万,"20,725元/平",118.880188,31.952075,江苏省南京市江宁区保利樾公馆,住宅区
五塘地铁口中间楼层 出门就是公交车站 地铁站 低总价,五塘村 ,2室1厅 | 60.77平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,99.9万,"16,440元/平",118.775816,32.112047,江苏省南京市鼓楼区五塘村,村庄
马群地铁 视野好 双卧朝南 交通方便 配套齐全 诚意售,泰康苑 ,2室1厅 | 80.61平米 | 南 北 | 其他 | 高楼层(共26层)  | 板楼,0人关注 / 15天以前发布,105万,"13,026元/平",118.895561,32.033438,江苏省南京市栖霞区泰康苑,住宅区
海赋尚城  燕子矶  诚心出售  三房  精装修,电建海赋尚城一期 ,3室1厅 | 87.08平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,3人关注 / 2个月以前发布,198万,"22,738元/平",118.836553,32.133109,江苏省南京市栖霞区海赋尚城一期,住宅区
双地铁口 大两房 高楼层 低总价 双房朝南,莲花新城南苑 ,2室1厅 | 60.01平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,7人关注 / 2个月以前发布,80万,"13,332元/平",,,,
满五年 精装 看房随时 配套全 多层洋房 诚心卖,亚泰山语湖 ,3室2厅 | 87.15平米 | 南 | 精装 | 中楼层(共4层)  | 板楼,3人关注 / 1个月以前发布,205万,"23,523元/平",118.704890,32.182600,江苏省南京市浦口区亚泰山语湖,住宅区
新上房源  百家湖三号线 精装复式小跃层,中航樾府 ,3室2厅 | 94.07平米 | 南 | 其他 | 中楼层(共12层)  | 板楼,27人关注 / 7个月以前发布,298万,"31,679元/平",118.797700,31.931635,江苏省南京市江宁区中航·樾府,住宅区
